Artist ID,"Artist",Certified Units,Gold,Platinum,Multi-Platinum,Diamond
4ee18966b7a157c786b31b6fddbdd2a3,"NIRVANA",28,8,8,3,1
3776d96ec641ee463302a615797f652e,"BARRY MANILOW",27.5,24,13,6,0
5761b517114146d51fe9338b267bcddd,"BROOKS & DUNN",27.5,12,11,6,0
e92092e544df410e599e8264d1c0fdb4,"JAY-Z",27.5,14,13,8,0
b6dc04c349e5a95cdfb2f9312923d29b,"JOHN MELLENCAMP",27.5,15,12,5,0
b14e3360270c730ef4996379c4eb95a7,"BOYZ II MEN",27,7,5,4,1
aa44507475a698d27aaa46b3f668a68a,"FRANK SINATRA",27,34,10,4,0
611a9d8d5e209ca538d9069c5ee05f1c,"ENYA",26.5,9,8,5,0
14658cc1ba0d6f280f2e0af83df6436d,"JANET JACKSON",26,8,8,6,0
542d8cc76deab03dcafdebc7051d1c65,"RUSH",26,24,14,3,0
f42ae4d8483bec853eccb74806a17bae,"DRAKE",25.5,8,7,5,0
43b1fdebb7efcea95869af8b17d83731,"FAITH HILL",25.5,7,6,6,0
d935a0139f2308bc9dd6d02838420a68,"LUTHER VANDROSS",25.5,19,16,7,0
2245d94539c34833898ef67ea859f70e,"STEVE MILLER BAND",25.5,10,5,3,1
f5660c5026e1e1f759baf47f511a0f00,"CREED",25,4,4,4,1
c2371797a2838eef4e5c7a6e30cd620d,"HOOTIE & THE BLOWFISH",25,3,3,2,1
036358b2ee7fe655891b84a4c999e090,"MOTLEY CRUE",25,12,8,5,0
d94743a9fef34c10e0bb4d0101347946,"RED HOT CHILI PEPPERS",25,10,8,6,0
ccbca5be79a37e40237fd67a028b1070,"TOBY KEITH",25,18,12,5,0
579ca2a37ec77e0f31af0213854db696,"ZZ TOP",25,11,7,4,1
2d73ac0ea1b6cedd3cfae81c862caf8d,"R.E.O. SPEEDWAGON",24.5,13,8,4,1
5bdab3a94bda57eabba24f3642c2778f,"THE CARPENTERS",24.5,13,8,6,0
fe0af94a79724db591e4dc04cdaeffa6,"GREEN DAY",24,9,7,4,1
ddb6819dbed9d939442252d0f0371d00,"KANYE WEST",24,9,7,7,0
9bd7c919fa85b2661db7724785790e90,"NICKELBACK",24,6,6,4,1
569f43741fb963791f7f33b59aca3d1f,"VINCE GILL",24,13,11,6,0
a184465d29df8b35f13023906dd2d179,"EARTH, WIND & FIRE",23.5,14,9,6,0
ff93fe5aa46c67a2704477253469d3a7,"JOHNNY CASH",23.5,19,10,6,0
a49c1264b21c4eadef2b0c8c8f802ce6,"KID ROCK",23.5,7,6,4,1
bb083e2d49c942da4c951829257ef3c0,"SADE",23.5,8,7,6,0
008ad844933bc690a28ec5e5483ae6b1,"THE CARS",23.5,7,6,5,0
bdc4c89f064cc858d24bdc6eca647323,"BEASTIE BOYS",23,7,7,6,1
549dd22cc68e36afa4a27ae219661c4f,"JIMI HENDRIX",23,16,10,6,0
94430e38e7df0058080e55eaa8b1e567,"JIMMY BUFFETT",23,17,9,3,0
1812524c3ef30cec5bcccba005b5b0c6,"RIHANNA",23,8,8,7,0
5fe9fad901806fbe40433a2209d92c50,"TLC",23,4,4,3,1
06a015a3a2885b6b0cf5bba7571f68f3,"HEART",22.5,14,9,6,0
f8d596519a45fe206181b1260539c820,"LIONEL RICHIE",22.5,9,6,3,1
881128458caaf9db22fb6cc0b34510d1,"THE BEACH BOYS",22.5,20,9,6,0
b6774a3cfed1cb69abdb60f7fd47d178,"USHER",22.5,6,5,3,1
cc1a5d0b15872094fc54c8c7f9b6aba1,"DOOBIE BROTHERS",22,11,7,4,1
c3c3eca13141966ba76bdd8772a166f7,"NELLY",22,7,5,3,1
5a2424bccf610a5e14cb210487244906,"OUTKAST",22,7,7,4,1
b7beb0573349210a9db8c25002f2087b,"THE POLICE",22,8,8,4,0
d2d02a9f89cc63b359dd8269962afd3f,"BOB MARLEY & THE WAILERS",21.5,11,2,2,1
bdbaf22e19405bbcc55bb51dc0994e0c,"GENESIS",21.5,13,6,4,0
06f9d02e06a3e4bf239ba02a2bef019f,"JUSTIN BIEBER",21.5,11,8,5,0
88350d62c8943f3df09246270a5b633a,"CARRIE UNDERWOOD",21,7,7,4,0
ba34319f0e99ca97d45f8618a969f499,"KISS",21,26,10,3,0
5795699a0508cfeca38db0deefd099c0,"LIL WAYNE",21,11,9,4,0
b3578bab8f6865b629903b603d7583fe,"MEAT LOAF",21,5,3,2,1
03179215180817de7c89b1e1b0e096dc,"NOTORIOUS B.I.G.",21,5,5,3,1
196b1c8f1d1eeccc3d2fb7aad2fb6346,"THE WHO",21,18,12,5,0
2ae7d63d9e6ba447e4f85aa076084e30,"ALANIS MORISSETTE",20.5,4,3,2,1
95f9e5ab8d912c0d47da18cc689c398c,"JOSH GROBAN",20.5,10,5,4,0
0e432666c71e9c7106b14a2058013a71,"MARY J. BLIGE",20.5,13,8,6,0
ea1258c017766050c18b587dc908541f,"PRINCE",20.5,18,11,4,0
ea712a814b6b8f6cdfd20568c4860890,"ALICIA KEYS",20,6,6,4,0
664d7687db1327fc603440899d126695,"R.E.M.",20,13,7,4,0
ea6f121f17ff2b03e2263766d94ccec4,"GRATEFUL DEAD",19.5,21,6,4,0
b3d2e810d7c85f4ccb74845788fbf7c7,"HANK WILLIAMS, JR.",19.5,23,8,1,0
f37cc118813b102ab5119f0ed0cf7183,"SMASHING PUMPKINS",19.5,9,6,2,1
30ef4769efdc068751a456c744d91bc0,"STEVIE WONDER",19.5,12,7,2,1
f43988b2b7720824cc4a737808459c39,"TONI BRAXTON",19.5,6,3,3,0
63d36878774f58395a9fc414615efe4d,"MATCHBOX TWENTY",19,5,3,3,1
2f15397f65c8373502ef5b67d9502a54,"JACKSON BROWNE",18.5,11,8,3,0
26c584cf9be333efdd0bc473cf4acc36,"JANIS JOPLIN",18.5,8,5,3,0
f3defba1ef1ff9d63e39a8fe03df443a,"JEWEL",18.5,5,4,2,1
b4dd0b28aa6ccee2093a2dcffd7f018a,"RASCAL FLATTS",18.5,8,7,5,0
3f650bc1dbce16b090e36424946c4817,"SARAH MC LACHLAN",18.5,8,5,4,0
5d29cc406d0dedc6c8c4385076d4fdad,"CROSBY, STILLS, NASH & YOUNG",18,4,4,3,0
e7563bb3563d6bf4345ce873fa4e9fa9,"DESTINY'S CHILD",18,6,6,3,0
6862b193ef8338144c1fc475b47d180e,"P!NK",18,8,8,5,0
cfe79544acaab17d873b05ee9d826a16,"RANDY TRAVIS",18,12,8,4,0
9942447881fad13c4f0a4d1f1e3e511e,"STING",18,11,9,5,0
d39e4753e7bc9a7e98b05755dfa99508,"THE MONKEES",18,9,7,4,0
1d81b47d3d10011b2f11288a4185190e,"CAROLE KING",17.5,8,3,1,1
e5347bf33b7df67170b16da6cc96f9f8,"JOHN MAYER",17.5,9,6,4,0
582805e21d5d3759ad141b400d38f294,"NEIL YOUNG",17.5,18,7,3,0
74dd6d5c817e891ecf093d370d465cf5,"STONE TEMPLE PILOTS",17.5,5,4,3,0
227288dc7eb28f112fc581f24d43887e,"STYX",17.5,13,6,5,0
87f909563ecee00f8aac83bf005905bc,"AMY GRANT",17,13,7,3,0
093da8a5d87f94531c11926cd9977aba,"BONNIE RAITT",17,9,3,3,0
64d27274c2cee87dff48f858ea9ba553,"BRYAN ADAMS",17,6,6,3,0
44c2a6a2cdf4072eccbc3087f05f161d,"LADY GAGA",17,5,5,3,0
a8dae1beacaf3e68a2dca4ee9d64c2fd,"NORAH JONES",17,4,4,3,1
227f7d7fa0dbc7f40b05b8685453cefd,"JOHNNY MATHIS",16.5,15,6,2,0
a8084d9bb11c2b06358f5ebc09c25fe0,"KORN",16.5,9,8,4,0
3b8bb559e753d33f4eea8037fbbe4aab,"LEANN RIMES",16.5,9,6,3,0
8c36a7aed5dc62d7f1bd626beaaa195e,"LIMP BIZKIT",16.5,5,4,3,0
fe62017e479578dfb837b6351c011b1d,"NEW KIDS ON THE BLOCK",16.5,5,4,4,0
ba2913f08f84fd107c166e461a2e1aff,"ANDREA BOCELLI",16,14,10,3,0
c9ff7e824ab0d4e22dc230b6b03f1c51,"BRUNO MARS",16,3,3,3,0
09a9bf6b01572012f4e8ee0ef9dbb855,"HAMMER",16,4,4,3,1
e1d818ea5d753cce5af6a01caf3a2484,"HARRY CONNICK, JR.",16,13,9,4,0
d9391ab79536b3eb36d9d78361450ae3,"MARTINA MCBRIDE",16,10,8,4,0
e2b100c9ecd149cd053b365f8426e13c,"PRINCE & THE REVOLUTION",16,3,3,2,1
7728cab5699c25b1dd1340736418659f,"SHERYL CROW",16,6,6,3,0
2693fa4664e0710d6bfb7227479f293d,"50 CENT",15.5,3,2,2,0
0241cf59c40cbd881c17e2e7df837428,"BAD COMPANY",15.5,9,6,4,0
dcd5b6782a202094a8c2befa33c74549,"CAT STEVENS",15.5,12,5,3,0
e5d2036a9ceb6c961f5cdce489c1227e,"CHRISTINA AGUILERA",15.5,7,4,2,0
a49d887eb8c3208fb483526f811b910b,"DIRE STRAITS",15.5,8,5,2,0
97d53267a9d4b03f7e65ffa0815cb44e,"GLORIA ESTEFAN",15.5,10,7,4,0
3c3c0b46035e06fcb0cdd6996226895a,"ISLEY BROTHERS",15.5,15,10,3,0
453719b1a9d5c91e91c56b30d09647f9,"KANSAS",15.5,9,4,3,0
3afb24ee2603fe39a82e9bd59bd9de8a,"PAUL MC CARTNEY",15.5,16,7,4,0
b36ea0f5b4374b2366783176af524c30,"BEYONCE",15,6,6,5,0
c3dc2df7e4a3ab5a95772ef0f8d497b6,"BLACK SABBATH",15,12,8,3,0
eb39229d9db19174ad059f316a8eb4ad,"GEORGE MICHAEL",15,4,4,3,1
639725b288b3645e317719d277722037,"INXS",15,9,7,3,0
2d7d13d3defa4cf61d1b6d493b9c6199,"NO DOUBT",15,4,4,3,1
af711feb9117fa169bca4c8a547ace6b,"ANNE MURRAY",14.5,15,6,2,0
2c422fe7c8f3f8c36bc7520f6167089b,"CHRIS BROWN",14.5,9,8,4,0
8c27a13f6d50ed39af54b7bff5b26415,"COLDPLAY",14.5,8,7,4,0
7945b1218798957e56c71b2615d0d80d,"KEITH URBAN",14.5,10,9,2,0
f5f91be5dbba1b9794ef9ee1f3fe4fbb,"OFFSPRING",14.5,7,4,2,0
1a459a7b57ed0f21737a5aee0d4b2c0d,"PATSY CLINE",14.5,6,5,1,1
0b3b8af746d257492d0638468983baec,"POISON",14.5,7,4,4,0
2331cb063020312733ce2a7b7b347594,"THE CRANBERRIES",14.5,4,3,3,0
ba12b0344e56ea7b72983c1aef502931,"DAN FOGELBERG",14,9,7,5,0
2c5565122d4a5aad7e7ca54161587ee0,"DMX",14,5,5,3,0
9aca0e16166467091222fb20b8a2c8a8,"JOHN MICHAEL MONTGOMERY",14,7,5,3,0
df5dbbb8e63fe48f0d21b560ddcb53bd,"TED NUGENT",14,8,6,5,0
36384a219f2cc7b2d94498150dcd16b3,"CHARLIE DANIELS BAND",13.5,9,6,3,0
ef97b25d02da27bff2a7f83fed761125,"NATALIE COLE",13.5,11,4,1,0
100ee70ae00dd694ce4553dc5d58ceed,"PAUL SIMON",13.5,11,6,2,0
8f2ba5aaa4f09b3ded2e34cc55bc49b1,"YES",13.5,13,8,2,0
ccb0c8d0b75bbb994b4647757febfd3f,"3 DOORS DOWN",13,5,3,2,0
b9538fce631f120f60f0c17b4c9b5871,"AVRIL LAVIGNE",13,5,3,3,0
49c1b7af8643085edfbd53cad9ac9eb6,"HALL & OATES",13,13,7,3,0
8719c6d21e2c8664fee510b8f20f4f8a,"HUEY LEWIS & THE NEWS",13,6,4,2,0
7c99e01fa440a7a773c93ae71541b627,"KEITH SWEAT",13,8,6,3,0
3a766f9592fb5529ea8236fc41fc8eb8,"LUKE BRYAN",13,8,4,3,0
a260444442cf48a199620be8601e65ff,"MAROON 5",13,8,6,3,0
120d2571379d1eb70d04d78b1ad87b6b,"MELISSA ETHERIDGE",13,7,5,3,0
3942436062f49502fc7790e69ffa0b71,"POST MALONE",13,3,3,3,0
5abf6aef02261a1ae9d1ba23ee258c00,"TRACY CHAPMAN",13,5,3,2,0
78089a2259fbc627fb198cc3e24fc229,"ANITA BAKER",12.5,6,5,3,0
607d4a921b917ebbdb260b80fa18a02f,"CHER",12.5,9,4,3,0
a9c4e38d6b1c638967d27440ba38ef6c,"CLINT BLACK",12.5,8,7,3,0
a04985e7e20492bb7fcbf5e946e7c686,"JASON ALDEAN",12.5,8,7,3,0
65abd595b3d3d8d027d0afd767e30214,"L.L. COOL J",12.5,12,7,3,0
105a4a370c6bb1afcc58028f8d882841,"NAS",12.5,10,7,3,0
8bc5d569266b892fb7c0d6149c871d76,"PAT BENATAR",12.5,10,7,2,0
8bddf73efd2d13ef9bbf159669a987db,"SNOOP DOGG",12.5,8,7,3,0
689bd182c6dfdd6a92d4a5ced8001bd0,"THE TEMPTATIONS",12.5,17,6,1,0
ddb27c4230dc525bbd8244e8805f98c2,"THE WEEKND",12.5,5,4,4,0
7473bc0dc5944952c09b0fb754cff7ca,"TOOL",12.5,6,5,4,0
ad4462cbb46069d817202c971da5657c,"TRISHA YEARWOOD",12.5,11,6,2,0
6d7ffdc94419e74964b6268f240921f8,"WHITESNAKE",12.5,5,4,2,0
1bc2dacebf092a8113eb9ba64d0c6c41,"ANDREW LLOYD WEBBER",12,6,6,2,0
9f46e2cf5f1664b3999bc91bbe7bba80,"BETTE MIDLER",12,10,6,3,0
2be228e3d7db776be2c61aa15359d7b8,"COUNTING CROWS",12,6,4,2,0
014132b0c00dab51564772a8dc447144,"DURAN DURAN",12,10,8,3,0
215dfd341cbf9b8ddfb0841779c06062,"KELLY CLARKSON",12,7,5,2,0
6d7324f33624b9f16b99c2f710f587d4,"LIVE",12,4,4,2,0
1e804b583a2efc7eae460a268b1430f0,"LUDACRIS",12,7,5,4,0
0f0fe1b1f1ac8142af6eeac396ef10f2,"NAT KING COLE",12,8,6,1,0
27f3bd9ccee271d1df6db4f605e49463,"ONE DIRECTION",12,5,5,4,0
4cc9c2b6e672ecfe6300ddb62aece6fa,"TRAVIS TRITT",12,7,7,4,0
45ba0a5121e4c56d98aa089bc69d2ebb,"WILL SMITH",12,4,2,2,0
c473231786e0fa92a4c08a5443560e00,"BONE THUGS 'N HARMONY",11.5,6,5,2,0
bb2a15c09b6761c67919371e35282152,"DISTURBED",11.5,6,5,3,0
b4016781e1a5536f2e2def9b519b8a0c,"DON HENLEY",11.5,5,4,2,0
7c497838aaa21a8c79c29fbb79a9d4a3,"DWIGHT YOAKAM",11.5,10,7,2,0
e51ded34cc858ea65ecc4ab000bb9681,"ELECTRIC LIGHT ORCHESTRA",11.5,11,4,2,0
d2e5a8903cd025e777e0c49d6ada0269,"PAULA ABDUL",11.5,4,3,2,0
5cff289e61c97ee04b5a9280149cebd4,"S.R. VAUGHAN & DOUBLE TROUBLE",11.5,7,6,5,0
d0507613f47c9f12d53fea165165ce90,"ALICE IN CHAINS",11,7,5,3,0
d09f562dd8c35b28acc2bf589fc94af0,"BARRY WHITE",11,12,6,2,0
aa9a205518f18899576c846513a2b8bb,"BLAKE SHELTON",11,12,6,2,0
8d4ed335c4ee30948670f3714246e7ea,"ED SHEERAN",11,4,4,3,0
92566e1c07f368178d629b1bb50f3bd0,"GRAND FUNK RAILROAD",11,12,6,2,0
56fca44bcac12561e095ad5d66d2f8d5,"JENNIFER LOPEZ",11,5,5,3,0
16ab6b7545663a4867b4f47a806405f1,"JETHRO TULL",11,15,3,1,0
0b8e28020affd18d84cc74136b7e7095,"KATY PERRY",11,3,3,2,0
7a35f501a2be04e78c182bbc85cd8864,"LAURYN HILL",11,2,2,1,1
96242a4d44db244ef10e45a679adc4ae,"LOVERBOY",11,6,4,4,0
811f28cd02366ca31db3da33b44f2514,"OLIVIA NEWTON-JOHN",11,12,4,3,0
3f6fd8fc93aa39ee56eb8833c3a7d097,"SPICE GIRLS",11,2,2,2,0
e36d56a7df41c0cc19aea76d023a545d,"STEELY DAN",11,12,8,1,0
acc04fa5cac3065d22803a49c3448995,"YANNI",11,9,5,2,0
ab1b3d407648463f32d7e2956d064d02,"ABBA",10.5,8,3,1,0
c7aaf2b79ed7a7f2d0475756c3534040,"ANDY WILLIAMS",10.5,18,3,0,0
a1ac9b6ff926692756c0160b3e3c22db,"BILLY RAY CYRUS",10.5,3,2,1,0
f2f197145fe2a184995f41a4808da699,"BRANDY",10.5,4,3,2,0
882c121d005666f5e6ab88d9eb442536,"BUSH",10.5,4,3,2,0
80bf2a91e2655ab76d5aea1fe1f9353a,"DEPECHE MODE",10.5,11,6,1,0
fe06bdf80e2b55565d9a546165c8c55c,"GEORGE HARRISON",10.5,9,2,1,0
cc972cd8e2d3c1a403933b624b10c1fa,"JOHN LENNON",10.5,11,4,2,0
b75bf5cbbdb1724ea589838e37f78c70,"JUSTIN TIMBERLAKE",10.5,5,4,3,0
952b8a064d462c73d1721b61f6708bec,"LENNY KRAVITZ",10.5,8,5,3,0
317bf90ac1d686f8928807507ae53eca,"MICHAEL W. SMITH",10.5,14,5,1,0
a329b1909cdfd1af5a73b6442c4913ab,"RICKY MARTIN",10.5,4,3,2,0
f31d1816a6584cb481fe3084f4a8c47a,"SCORPIONS",10.5,8,7,2,0
2663f6e5cfd5a0f657226fe48e3b7972,"STEVIE NICKS",10.5,8,5,2,0
f6b0db533a066800b6cd18cb92f785ef,"THE JUDDS",10.5,11,6,2,0
7f5dec9d5a5f7d6ad71a6d709551d270,"ZAC BROWN BAND",10.5,5,4,2,0
17df12dc6670ec903b8a974d3dbb01a2,"ACE OF BASE",10,2,2,1,0
2e3d32e8c6dc00739a484b25c5d5940e,"ARETHA FRANKLIN",10,14,4,1,0
d05b40a623089c3b08e14dd24fcc8ed8,"BLINK-182",10,6,4,2,0
